,date,open,close,high,low,volume,code,m5,m10,m30
219,2016/5/13,15.642,15.226,15.721,15.191,764179,600000,15.7086,15.6556,15.59326667
220,2016/5/20,15.218,15.412,15.562,15.032,732945,600000,15.631,15.698,15.64803333
221,2016/5/27,15.456,15.668,15.774,15.394,612589,600000,15.5426,15.6892,15.6807
222,2016/6/3,15.756,15.906,16.251,15.615,1072720,600000,15.5742,15.713,15.7428
223,2016/6/8,15.942,15.889,16.012,15.871,581484,600000,15.6202,15.6962,15.80433333
224,2016/6/17,15.774,15.695,15.889,15.5,1234402,600000,15.714,15.7113,15.84496667
225,2016/6/24,15.836,15.28,15.9,15.08,832194,600000,15.6876,15.6593,15.8279
226,2016/7/1,15.29,15.92,15.96,15.18,988187,600000,15.738,15.6403,15.841
227,2016/7/8,15.86,15.45,16.03,15.44,999590,600000,15.6468,15.6105,15.81223333
228,2016/7/15,15.56,15.71,15.97,15.4,1175170,600000,15.611,15.6156,15.79036667
229,2016/7/22,15.73,15.63,15.91,15.58,985453,600000,15.598,15.656,15.76053333
230,2016/7/29,15.63,15.7,15.88,15.45,1044011,600000,15.682,15.6848,15.73626667
231,2016/8/5,15.68,15.73,15.85,15.49,776305,600000,15.644,15.691,15.70683333
232,2016/8/12,15.76,16.36,16.4,15.66,1467906,600000,15.826,15.7364,15.6834
233,2016/8/19,16.5,16.42,17.02,16.35,2202017,600000,15.968,15.7895,15.69286667
234,2016/8/26,16.42,16.34,16.56,16.2,1080462,600000,16.11,15.854,15.72263333
235,2016/9/2,16.31,16.48,16.56,16.08,1330213,600000,16.266,15.974,15.7544
236,2016/9/9,16.49,16.56,16.66,16.35,1070814,600000,16.432,16.038,15.80533333
237,2016/9/14,16.38,16.4,16.48,16.26,747248,600000,16.44,16.133,15.85446667
238,2016/9/23,16.45,16.48,16.59,16.42,630070,600000,16.452,16.21,15.8627
239,2016/9/30,16.45,16.49,16.57,16.41,738240,600000,16.482,16.296,15.8692
240,2016/10/14,16.53,16.46,16.6,16.38,671653,600000,16.478,16.372,15.91826667
241,2016/10/21,16.41,16.3,16.44,16.22,656902,600000,16.426,16.429,15.9364
242,2016/10/28,16.3,16.29,16.58,16.18,850879,600000,16.404,16.422,15.95713333
243,2016/11/4,16.23,16.4,16.53,16.01,1001330,600000,16.388,16.42,15.96856667
244,2016/11/11,16.39,16.59,16.64,16.36,1205088,600000,16.408,16.445,16.00343333
245,2016/11/18,16.53,16.6,16.7,16.5,982268,600000,16.436,16.457,16.0301
246,2016/11/25,16.59,17.09,17.23,16.54,1319280,600000,16.594,16.51,16.06276667
247,2016/12/2,17.15,17.1,17.49,16.8,1358452,600000,16.756,16.58,16.10783333
248,2016/12/9,16.95,17.34,17.46,16.91,1167701,600000,16.944,16.666,16.16386667
249,2016/12/16,17.34,16.66,17.57,16.63,1271637,600000,16.958,16.683,16.21166667
250,2016/12/23,16.65,16.19,16.7,16.07,663350,600000,16.876,16.656,16.2376
251,2016/12/30,16.13,16.21,16.32,15.99,637031,600000,16.7,16.647,16.25566667
252,2017/1/6,16.21,16.18,16.44,16.13,895289,600000,16.516,16.636,16.2648
253,2017/1/13,16.24,16.27,16.29,16.1,594289,600000,16.302,16.623,16.2775
254,2017/1/20,16.23,16.6,16.66,16.1,1038073,600000,16.29,16.624,16.30766667
255,2017/1/26,16.66,16.74,16.84,16.51,494894,600000,16.4,16.638,16.35633333
256,2017/2/3,16.82,16.63,16.85,16.62,81742,600000,16.484,16.592,16.38
257,2017/2/10,16.75,16.78,16.84,16.54,648320,600000,16.604,16.56,16.42433333
258,2017/2/17,16.88,16.64,16.93,16.59,888594,600000,16.678,16.49,16.45533333
259,2017/2/24,16.62,16.71,17.08,16.62,910972,600000,16.7,16.495,16.49133333
260,2017/3/3,16.69,16.35,16.72,16.32,734830,600000,16.622,16.511,16.513
261,2017/3/10,16.37,16.23,16.53,16.17,688954,600000,16.542,16.513,16.52966667
262,2017/3/17,16.23,16.2,16.35,16.14,944361,600000,16.426,16.515,16.52433333
263,2017/3/24,16.24,15.96,16.25,15.7,1320814,600000,16.29,16.484,16.509
